created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Thu Mar 30 01:41:59 +0000 2023,1641254412491583489,"@RandomWorldWar @MD_IN Anak muda disana gak akan melakukan mass-shooting tapi mungkin klitih sebagai mana di Indonesia.   Memang, penyelesaian utamanya bukan hanya dengan pembatasan akses senpi, melainkan dengan mengobati kondisi psikologis manusia. Tapi dengan membatasi akses senpi c-",0,3,1,58,in,2349878136,1641236646833328128,samsunacun,https://twitter.com/samsunacun/status/1641254412491583489
Fri Apr 22 19:02:24 +0000 2022,1517579592529506304,@LaNyallaAcademy @KemensosRI @KemenkeuRI @LaNyallaMM1 @lanyallacenter_ @SidiBobyLukman @juvelinealdi @Bob_eT3k3WeR @An_Kiim @edilupak @74Mijhon @vandinnie @TopToross Klitih begal geng motor itu yg katanya gk da solusinya...itu Krn penyelesaian masalah gk dari akarnya...akar masalahnya ya ini ekonomi...,0,0,0,1,in,886878090768424960,1517555335254339585,yosephrosario_,https://twitter.com/yosephrosario_/status/1517579592529506304
Sun Apr 17 06:08:58 +0000 2022,1515573011151310848,"Maraknya kasus klitih sebagai bentuk kenakalan remaja kini sudah berkembang menjadi isu kriminalitas di Yogyakarta. Seni dinilai mampu menjadi ruang alternatif bagi pelaku klitih berekspresi, sekaligus menjadi pendekatan humanis &amp  interpersonal sebagai solusi penyelesaian klitih.",0,1,0,0,in,1041525360,1515573007585927176,bppmbalairung,https://twitter.com/bppmbalairung/status/1515573011151310848
Wed Apr 13 05:16:11 +0000 2022,1514110176319897601,"Brooo masalah klitih itu urusan pemerintah, ugm udah ada kajian soal penyelesaian masalah klitih, tapi kalo pemerintah ga gerak ya sama aja boong",0,0,0,0,in,1316940301253058561,1514110176319897601,hitsugaeya,https://twitter.com/hitsugaeya/status/1514110176319897601
Sat Apr 09 11:18:22 +0000 2022,1512751769755197441,@titiknol_jogja Unjuk rasa terkait tuntutan masyarakat agar ada penyelesaian fenomena klitih po iki?,0,0,0,0,in,16732645,1512722779790974976,Ibas,https://twitter.com/Ibas/status/1512751769755197441
Thu Apr 07 01:18:22 +0000 2022,1511876000761937921,"Pengalaman pribadi yang pernah mendampingi dan menangani anak2 genk pelajar.. akar permasalahan klitih"" atau kejahatan jalanan kebanyakan krn genk pelajar.. maka penyelesaian harus 3 ranah... Sekolahan-orangtua-kepolisian, ketiganya harus tegas, komprehensif, dan bekerjasama.""",0,1,0,8,in,315639357,1511876000761937921,arifjamalimuis,https://twitter.com/arifjamalimuis/status/1511876000761937921
Wed Apr 06 17:51:56 +0000 2022,1511763653556531204,"Dari brp tahun ngikutin kasus klitih d Jogja, baru ini liat penyelesaian masalah yg realistis dan SEHARUSNYA bisa dipikirkan dan dilakukan oleh pejabat terkait. Sedihnya yang mereka lakukan adalah mencoba menghapus"" masalahnya seakan enggak ada.""",0,0,0,0,in,160219955,1511763653556531204,ynwdhi,https://twitter.com/ynwdhi/status/1511763653556531204
Wed Apr 06 11:12:11 +0000 2022,1511663052068110339,"Rstorsi jstice dpt mnyelesaikan prmasalahan2: pencurian tanpa kkerasan nominal/materi brnilai kcil, krn trdesak keb RT, dll sejenis yg bisa dmklumi&amp memungkinkn kebijaksanaan smua pihak dlm penyelesaiany.   Klo klitih ini penyakit berbahaya. Butuh metode penyelesaian yg TEGAS.",0,0,0,1,in,2708324382,1511663052068110339,Mr_bob1916,https://twitter.com/Mr_bob1916/status/1511663052068110339
Wed Apr 06 02:11:04 +0000 2022,1511526875172319234,"coba klitih nya nyerang polisi aja dulu, kira2 berubah gak penyelesaian konflik nya",0,0,0,0,in,878139689122672640,1511526875172319234,cosmosjoonie,https://twitter.com/cosmosjoonie/status/1511526875172319234
Wed Apr 06 00:53:55 +0000 2022,1511507459659431936,"@merapi_uncover @omgasat Sakjane angele ning ndi to? Kepolisian gawe razia tiap malam, di tiap titik rawan masing2 wilayah polsek. Setidaknya mengurangi potensi klitih.. Nek perlu ya libatkan masyarakat atau ormas..Ini sudah memprihatinkan keadaannya..Dan penyelesaian tergantung niat aprt penegak hukum",0,0,0,0,in,496882851,1511431329413443589,SkinOed,https://twitter.com/SkinOed/status/1511507459659431936
